Ma Phong,So Luong Sinh Vien Trong Phong,Tinh Trang Sua Chua,Han Dong Tien Nuoc,
,0,0,,
H33,0,0,8/11/2021,
H32,0,0,8/11/2021,
H31,0,0,8/11/2021,
H30,0,0,8/11/2021,
H29,0,0,8/11/2021,
H28,0,0,8/11/2021,
H27,0,0,8/11/2021,
H26,0,0,8/11/2021,
H25,0,0,8/11/2021,
H24,0,0,8/11/2021,
H23,0,0,8/11/2021,
H22,0,0,8/11/2021,
H21,0,0,8/11/2021,
H20,0,0,8/11/2021,
H19,0,0,8/11/2021,
H18,0,0,8/11/2021,
H17,0,0,8/11/2021,
H16,0,0,8/11/2021,
H15,0,0,8/11/2021,
H14,0,0,8/11/2021,
H13,0,0,8/11/2021,
H12,0,0,8/11/2021,
H11,0,0,8/11/2021,
H10,0,0,8/11/2021,
H09,5,0,8/11/2021,
H08,5,0,8/11/2021,
H07,6,1,8/11/2021,
H06,5,1,8/11/2021,
H05,5,0,8/11/2021,
H04,6,1,8/11/2021,
H03,4,1,8/11/2021,
H02,5,0,8/11/2021,
H01,6,1,8/11/2021,
R11,0,0,8/11/2021,
R10,0,0,8/11/2021,
R09,5,1,8/11/2021,
R08,6,1,8/11/2021,
R07,6,1,8/11/2021,
R06,6,1,8/11/2021,
R05,6,0,8/11/2021,
R04,6,1,8/11/2021,
R03,6,1,8/11/2021,
R02,6,0,8/11/2021,
